"questions","answer"
"Apa itu STT Cipasung?","Sekolah Tinggi Teknologi Cipasung (STT Cipasung) adalah sebuah institusi pendidikan tinggi di Tasikmalaya yang didirikan untuk menyediakan tenaga ahli profesional dalam bidang keteknikan. Pendiriannya bertujuan untuk menjawab tantangan dan kebutuhan masyarakat, khususnya di sekitar pesantren dan daerah pinggiran."
"Apa kepanjangan dari STT Cipasung?","STT Cipasung adalah singkatan dari Sekolah Tinggi Teknologi Cipasung."
"Kapan STT Cipasung didirikan secara resmi?","STT Cipasung didirikan pada tahun 1997."
"Siapa yang memberikan bantuan dan arahan dalam pendirian STT Cipasung?","Pendirian STT Cipasung dilakukan dengan bantuan dan arahan dari tim Institut Teknologi Bandung (ITB)."
"Apa tujuan utama pendirian STT Cipasung?","Tujuannya adalah untuk menjawab tantangan dan menyediakan tenaga ahli profesional dalam bidang keteknikan yang dibutuhkan oleh masyarakat, khususnya di sekitar pesantren dan daerah pinggiran yang kurang mendapatkan perhatian."
"Di mana saya dapat menemukan Visi dan Misi resmi STT Cipasung?","Informasi lengkap mengenai Visi dan Misi dapat ditemukan pada menu Profil di situs web resmi."
"Apakah STT Cipasung memiliki Statuta sebagai pedoman?","Ya, informasi mengenai Statuta STTC tercantum dan dapat diakses melalui menu Profil."
"Di mana saya bisa melihat rencana pengembangan jangka panjang institusi?","Dokumen Rencana Induk Pengembangan STTC tersedia di bagian Profil situs web."
"Apakah informasi tentang akreditasi kampus dan program studi tersedia?","Ya, informasi mengenai status dan SK Akreditasi dapat diakses melalui menu Profil."
"Program studi sarjana (S1) apa saja yang ditawarkan oleh STT Cipasung?","STT Cipasung menawarkan dua program studi utama, yaitu: 1. Teknik Industri dan 2. Informatika."
"Apa fokus utama keilmuan di Program Studi Teknik Industri?","Program studi ini mencakup bidang desain, perbaikan, dan pemasangan dari sistem integral yang melibatkan manusia, bahan-bahan, informasi, peralatan, dan energi."
"Metode apa yang ditekankan dalam keilmuan Teknik Industri di STT Cipasung?","Keilmuan Teknik Industri menerapkan konsep untuk memperbaiki sistem pekerjaan, yang salah satunya dibuktikan dengan penerapan siklus Plan, Do, Check, Action (PDCA)."
"Apa yang menjadi inti pembelajaran dalam Program Studi Informatika?","Inti pembelajarannya adalah bagaimana menggunakan teknologi komputer secara optimal untuk menangani masalah transformasi atau pengolahan data dengan proses logika."
"Keterampilan apa saja yang akan diperoleh mahasiswa Program Studi Informatika?","Mahasiswa akan banyak mengkaji pemrograman dan komputasi, serta dibekali keterampilan untuk merancang perangkat lunak dan pengembangan sistem operasi komputer."
"Bagaimana cara calon mahasiswa mendaftar ke STT Cipasung?","Pendaftaran dapat dilakukan secara daring (online) melalui laman resmi PMB Online yang tertaut di situs utama."
"Kapan umumnya Penerimaan Mahasiswa Baru (PMB) dibuka?","PMB dibuka dalam beberapa gelombang. Contohnya, Gelombang 1 PMB 2025 dibuka mulai 15 Februari 2025 hingga 12 Maret 2025 (tanggal pendaftaran dapat berubah setiap tahunnya)."
"Apakah STT Cipasung menyediakan peluang beasiswa untuk mahasiswa?","Ya, STT Cipasung aktif berkolaborasi untuk menyediakan beasiswa."
"Apa saja contoh program beasiswa yang pernah tersedia?","Beberapa program beasiswa yang pernah dilaksanakan adalah: Beasiswa S1 BAZNAS dan Jabar Future Leaders Scholarship (JFLS) bekerja sama dengan Pemerintah Daerah Provinsi Jawa Barat."
"Apa nama kegiatan orientasi penyambutan mahasiswa baru di STT Cipasung?","Kegiatan orientasi mahasiswa baru disebut Kuliah Ta'aruf Mahasiswa Baru (KTMB)."
"Kapan pelaksanaan kegiatan KTMB biasanya dilakukan?","KTMB biasanya dilaksanakan pada awal semester ganjil, sebelum perkuliahan dimulai (contohnya, pada bulan September)."
"Apa saja fasilitas umum kampus yang tersedia?","Fasilitas umum meliputi: Masjid, Perpustakaan, Kantin, Sarana Olahraga, Ruang Kelas, dan Aula."
"Laboratorium apa saja yang tersedia untuk menunjang praktik mahasiswa?","Tersedia dua jenis Laboratorium utama: Lab. Sistem Produksi dan Lab. Komputer."
"Apa kegunaan dari layanan E-Learning yang disediakan?","Layanan E-Learning disediakan untuk mendukung proses pembelajaran jarak jauh atau pembelajaran blended bagi mahasiswa dan dosen."
"Apakah ada layanan untuk mengakses koleksi buku secara digital?","Ya, STT Cipasung menyediakan layanan Perpustakaan Digital."
"Apakah STT Cipasung menerbitkan publikasi ilmiah?","Ya, institusi menyediakan akses ke Jurnal ilmiah melalui menu Layanan."
"Apa fungsi dari layanan Verifikasi Ijazah?","Layanan ini memungkinkan pihak yang berkepentingan untuk memverifikasi keabsahan ijazah lulusan STT Cipasung."
"Apakah ada unit yang menangani penelitian dan pengabdian masyarakat?","Ya, terdapat unit LPPM (Lembaga Penelitian dan Pengabdian kepada Masyarakat) yang mengelola Tri Dharma Perguruan Tinggi di bidang tersebut."
"Apa peran dari UPM di STT Cipasung?","UPM (Unit Penjaminan Mutu) bertugas untuk memastikan kualitas dan standar mutu pendidikan di dalam institusi."
"Apakah STT Cipasung mengadakan seminar yang relevan dengan dunia kerja?","Ya, kampus sering mengadakan seminar teknologi dan kewirausahaan, seperti Seminar Kewirausahaan dengan tema “Entrepreneurship Acceleration”."
"Apakah kampus mendukung kegiatan startup dan pengembangan ide kreatif mahasiswa?","Ya, STT Cipasung pernah berkolaborasi dengan Gerakan 1000 Startup dalam acara Roadshow Harlah untuk mendukung talenta muda dalam mengembangkan ide kreatifnya."
"Kapan kampus merayakan hari lahir (Harlah)?","Rangkaian Harlah STT Cipasung dilaksanakan secara rutin, contohnya pada bulan Juni/Juli setiap tahunnya."
"Apakah alumni STT Cipasung meraih prestasi di tingkat nasional?","Ya, beberapa alumni telah meraih penghargaan, seperti peserta dan Capstone Terbaik Baparekraf Digital Talent (Oktober 2024)."
"Apakah ada kegiatan yang bersifat sosial atau kepedulian lingkungan?","Ya, kegiatan seperti peringatan Hari Peduli Sampah Nasional pernah diangkat dalam berita kegiatan kampus, menunjukkan kepedulian terhadap isu lingkungan."
"Di mana saya bisa melihat dokumentasi kegiatan kampus?","Dokumentasi kegiatan, seperti wisuda dan seminar, sering dipublikasikan di bagian Berita dan Kegiatan Terbaru pada situs web."
"Bagaimana prosedur pengisian KRS?"," ""Pengisian KRS dilakukan  secara online melalui sistem kampus."" "
"Jelaskan terkait pengisian KRS?"," ""Pengisian KRS merupakan proses pengambilan mata kuliah pada awal semester."""
"Bagaimana prosedur pengambilan KHS?"," ""Pengambilan KHS dapat dilakukan melalui akun akademik kampus."""
"Jelaskan terkait pengambilan KHS?"," ""KHS (Kartu Hasil Studi) berisi hasil studi mahasiswa dalam satu semester."""
"Di mana saya bisa mendapatkan pengambilan KHS?","KHS dapat diunduh melalui akun akademik kampus."
"Apa itu UKT?"," ""UKT adalah Uang Kuliah Tunggal."""
"Jelaskan terkait UKT?"," ""Uang Kuliah Tunggal (UKT) adalah biaya yang dikenakan kepada setiap mahasiswa untuk digunakan dalam proses pembelajaran."""
"Mohon penjelasan terkait pembayaran UKT?"," ""UKT adalah biaya pendidikan yang dibayarkan setiap semester."""
"Bagaimana prosedur pembayaran UKT?"," ""Pembayaran UKT bisa dilakukan langsung ke pihak kampus atau melalaui bank mitra kmapus."""
"Apa langkah untuk pembayaran UKT?"," ""Mahasiswa wajib membayar UKT sesuai jadwal yang ditentukan."""
"Di mana mahasiswa membayar UKT?"," ""Pembayaran UKT dilakukan melalui bank yang bekerja sama dengan kampus atau dibayarkan secara langsung ke pihak kampus."""
"Bagaimana prosedur pendaftaran ulang mahasiswa?"," ""Pendaftaran ulang mahasiswa dilakukan melalui sistem akademik sesuai jadwal."""
"Apa saja langkah untuk pendaftaran ulang mahasiswa?"," "" Mahasiswa melengkapi administrasi dan melakukan konfirmasi melalui sistem akademik."""
"Jelaskan terkait pendaftaran ulang mahasiswa?"," "" Pendaftaran ulang merupakan proses konfirmasi status aktif mahasiswa setiap semester"""
"Di mana mahasiswa dapat mengurus pendaftaran ulang?"," ""Pendaftaran ulang dilakukan melalui sistem akademik kampus"""
"Kapan jadwal pendaftaran ulang mahasiswa?"," ""Jadwal pendaftaran ulang mengikuti kalender akademik"""
"Apakah ada ketentuan mengenai pendaftaran ulang mahasiswa?"," "" Mahasiswa wajib menyelesaikan pembayaran sebelum melakukan pendaftaran ulang"""
"Bagaimana prosedur cuti akademik?"," "" Pengajuan cuti akademik dilakukan melalui sistem akademik dengan persetujuan fakultas"""
"Apa saja langkah yang harus dilakukan untuk cuti akademik?"," "" Mahasiswa mengajukan permohonan cuti melalui sistem dan melengkapi persyaratan"""
"Bagaimana cara mengajukan cuti akademik?"," "" Pengajuan cuti dilakukan secara daring melalui akun mahasiswa"""
"Jelaskan terkait cuti akademik?"," "" Cuti akademik adalah penangguhan studi sementara sesuai ketentuan kampus"""
"Di mana mahasiswa dapat mengurus cuti akademik?"," "" Pengurusan cuti akademik dilakukan melalui sistem akademik kampus"""
"Kapan jadwal pengajuan cuti akademik?"," "" Pengajuan cuti akademik dilakukan sebelum semester berjalan"""
"Apakah terdapat ketentuan khusus mengenai cuti akademik?"," ""Cuti akademik memiliki batas maksimal sesuai peraturan institusi"""
"Saya ingin mengetahui informasi tentang cuti akademik?"," "" Informasi cuti akademik tersedia pada panduan akademik kampus"""
"Bagaimana prosedur aktif kembali setelah cuti?"," Pengajuan aktif kembali dilakukan melalui sistem akademik kampus"
"Apa langkah untuk aktif kembali setelah cuti?"," "" Mahasiswa mengajukan permohonan aktif kembali dan melakukan registrasi"""
"Bagaimana cara melakukan aktif kembali setelah cuti?"," Proses aktif kembali dilakukan secara daring melalui sistem akademik"
"Kapan jadwal aktif kembali setelah cuti?"," "" Pengajuan aktif kembali dilakukan sebelum semester baru dimulai"""
"Apakah ada ketentuan mengenai aktif kembali setelah cuti?"," "" Mahasiswa wajib memenuhi syarat administrasi untuk aktif kembali"""
"Bagaimana prosedur jadwal perkuliahan?"," "" Jadwal perkuliahan ditetapkan oleh fakultas dan dapat diakses melalui sistem akademik"
"Apa langkah untuk mengetahui jadwal perkuliahan? "," Mahasiswa dapat melihat jadwal perkuliahan melalui akun SEVIMA"
"Bagaimana cara melihat jadwal perkuliahan?"," "" Jadwal perkuliahan dapat diakses secara daring melalui sistem akademik"""
"Kapan jadwal perkuliahan diumumkan? "," Jadwal perkuliahan diumumkan sebelum semester baru dimulai"
"Apakah terdapat ketentuan mengenai jadwal perkuliahan?"," "" Perubahan jadwal perkuliahan mengikuti kebijakan fakultas"""
"Saya ingin mengetahui informasi tentang jadwal perkuliahan?"," Informasi jadwal perkuliahan tersedia melalui sistem akademik"
"Bagaimana prosedur ujian akhir semester?"," Ujian akhir semester dilaksanakan sesuai jadwal akademik yang ditetapkan"
"Apa langkah untuk mengikuti ujian akhir semester?"," Mahasiswa memastikan status akademik aktif dan memenuhi syarat ujian"
"Bagaimana cara mengikuti ujian akhir semester?"," Ujian akhir semester diikuti sesuai jadwal dan ketentuan fakultas"
"Mohon penjelasan terkait ujian akhir semester?"," Ujian akhir semester merupakan evaluasi akhir pembelajaran mahasiswa"
"Di mana mahasiswa dapat melihat jadwal ujian akhir semester?"," Jadwal ujian akhir semester tersedia di grup resmi STT Cipasung"
"Kapan pelaksanaan ujian akhir semester?"," Pelaksanaan ujian akhir semester mengikuti kalender akademik"
"Apakah ada ketentuan khusus mengenai ujian akhir semester?"," Mahasiswa wajib memenuhi persyaratan kehadiran dan administrasi"
"Saya ingin mengetahui informasi tentang ujian akhir semester?"," Informasi ujian akhir semester tersedia melalui pengumuman resmi kampus"
"Bagaimana prosedur wisuda?"," Pendaftaran wisuda dilakukan melalui sistem akademik kampus"
"Apa langkah yang harus dilakukan untuk wisuda?"," ""Mahasiswa mendaftar wisuda dan melengkapi persyaratan administrasi"""
"Bagaimana cara melakukan pendaftaran wisuda?"," ""Pendaftaran wisuda dilakukan secara daring melalui sistem akademik"""
"Mohon penjelasan terkait wisuda?"," ""Wisuda merupakan prosesi kelulusan mahasiswa setelah menyelesaikan studi"""
"Di mana mahasiswa dapat mengurus wisuda?"," ""Pengurusan wisuda dilakukan melalui sistem akademik kampus"""
"Kapan jadwal pelaksanaan wisuda?"," Jadwal wisuda diumumkan melalui pengumuman resmi kampus"""
"Apakah terdapat ketentuan mengenai wisuda?"," ""Mahasiswa harus menyelesaikan seluruh kewajiban akademik"""
"Saya ingin mengetahui informasi tentang wisuda?"," ""Informasi wisuda tersedia melalui pengumuman resmi kampus"""
"Bagaimana prosedur pendaftaran skripsi?"," ""Pendaftaran skripsi dilakukan melalui sistem akademik dengan persyaratan tertentu"""
"Apa langkah untuk pendaftaran skripsi?"," ""Mahasiswa mengajukan pendaftaran skripsi melalui sistem akademik"""
"Bagaimana cara melakukan pendaftaran skripsi?"," ""Pendaftaran skripsi dilakukan secara daring melalui akun mahasiswa"""
"Mohon penjelasan terkait pendaftaran skripsi?"," ""Pendaftaran skripsi menandai dimulainya penyusunan tugas akhir"""
"Di mana mahasiswa dapat mengurus pendaftaran skripsi?"," ""Pengurusan pendaftaran skripsi dilakukan melalui sistem akademik"""
"Kapan jadwal pendaftaran skripsi ?"," ""Jadwal pendaftaran skripsi mengikuti ketentuan fakultas"""
"Apakah ada ketentuan mengenai pendaftaran skripsi?"," ""Mahasiswa harus memenuhi prasyarat akademik tertentu"""
"Saya ingin mengetahui informasi tentang pendaftaran skripsi?"," ""Informasi pendaftaran skripsi tersedia pada panduan akademik kampus"""
"Bagaimana prosedur bimbingan skripsi?"," ""Bimbingan skripsi dilakukan secara terjadwal antara mahasiswa dan dosen"""